Area.Name	Area.ID	Park.Name	Park.ID	Squirrel.ID	Primary.Fur.Color	Highlights.in.Fur.Color	Color.Notes	Location	Above.Ground..Height.in.Feet.	Specific.Location	Activities	Interactions.with.Humans	Other.Notes.or.Observations	Squirrel.Latitude..DD.DDDDDD.	Squirrel.Longitude...DD.DDDDDD.
CENTRAL MANHATTAN	B	Madison Square Park	7	B-07-10	Gray	NA	NA	Above Ground, Specific Location	10	in tree	Climbing, Foraging	Indifferent	First spotted in tree, then climbed down. Squirrel was small in stature.	40.741805	-73.988448
CENTRAL MANHATTAN	B	Madison Square Park	7	B-07-11	Gray	NA	NA	Ground Plane, Above Ground	1	on bench	Running, Climbing, Foraging	Indifferent	First seen on bench. Then jumped to ground, ran across path and onto lawn in search of food.	40.741862	-73.988797
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-01	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	Found nut and moved into tree	40.733753	-73.983682
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-02	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.733648	-73.983483
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-03	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.733631	-73.983419
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-04	Gray	Cinnamon	NA	Ground Plane	NA	NA	Climbing	Runs From	NA	40.733546	-73.983263
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-05	Gray	Cinnamon	NA	Above Ground	30	NA	Climbing	NA	NA	40.733591	-73.983263
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-06	Gray	Cinnamon	NA	Above Ground	15	NA	Climbing, Eating	Indifferent	NA	40.733648	-73.984294
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-07	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Approaches	Curious, thinks we have food	40.733737	-73.98438
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-08	Gray	Cinnamon	NA	Ground Plane	NA	NA	Chasing	Indifferent	Being chased by #9	40.733501	-73.984417
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-09	Gray	Cinnamon	NA	Ground Plane	NA	NA	Chasing	Indifferent	Chasing #8	40.733575	-73.984391
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-10	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Approaches	Expected food	40.733506	-73.984553
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-11	Gray	Cinnamon	NA	Above Ground	20	NA	Climbing	Indifferent	Juvenile? Playing with #12 in tree	40.733619	-73.984708
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-12	Gray	Cinnamon	NA	Above Ground	20	NA	Chasing	Indifferent	Juvenile? Playing with #11 in tree	40.733648	-73.984638
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-13	Gray	Cinnamon	NA	Above Ground	40	NA	Eating	NA	NA	40.733737	-73.984644
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-14	Black	Cinnamon	NA	Above Ground	10	NA	Eating	Approaches	NA	40.733932	-73.984612
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-15	Black	Cinnamon	NA	Above Ground	30	NA	Eating	NA	Far away	40.734014	-73.984461
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-16	Black	Cinnamon	NA	Above Ground, Specific Location	60	in tree	NA	NA	NA	40.734221	-73.984397
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-17	Gray	Cinnamon	NA	Above Ground, Specific Location	15	in tree	Eating	NA	NA	40.734083	-73.984322
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-18	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.73403	-73.984199
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-19	Black	Cinnamon	NA	Above Ground, Specific Location	40	in tree	Grooming	NA	NA	40.734204	-73.984242
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-20	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.734314	-73.984231
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-21	Gray	Cinnamon	NA	Above Ground, Specific Location	30	in tree	NA	NA	NA	40.734261	-73.984284
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-22	Gray	Cinnamon	NA	Above Ground, Specific Location	30	in tree	NA	NA	NA	40.734144	-73.984059
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-23	Gray	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.734335	-73.984038
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-24	Black	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.734383	-73.984118
CENTRAL MANHATTAN	B	Stuyvesant Square Park	9	B-09-25	Black	Cinnamon	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	40.734356	-73.984062
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-01	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Runs From	Nut in mouth, very fast moving	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-02	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-03	Black	Black	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-04	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-05	Gray	Gray	NA	Ground Plane	NA	NA	Running	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-06	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-07	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-08	Gray	Gray	NA	Above Ground	20	NA	Climbing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-09	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-10	Gray	Gray	NA	Above Ground	30	NA	Chasing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-11	Gray	Gray	NA	Above Ground	30	NA	Chasing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-12	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-13	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-14	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	NA	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-15	Gray	Gray	NA	Specific Location	NA	Tree	Climbing (down tree)	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-16	Gray	Gray	NA	Specific Location	NA	Tree	Climbing (down tree)	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-17	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-18	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-19	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-20	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-21	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-22	Gray	Gray	NA	Specific Location	NA	Tree	Sitting	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-23	Gray	Gray	NA	Specific Location	NA	Tree	Sitting (in tree hole)	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-24	Gray	Gray	NA	Specific Location	NA	Tree	Lounging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-25	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-26	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-27	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-28	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-29	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-30	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-31	Gray	Gray	NA	Ground Plane	NA	NA	Running	NA	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-32	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-33	Gray	Gray	NA	Specific Location	NA	Tree	Sitting	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-34	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Approaches	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-35	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-36	Gray	Gray	NA	Specific Location	NA	Tree	Climbing (down)	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-37	Gray	Gray	NA	Specific Location	NA	Tree	Climbing (down)	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-38	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-39	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-40	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-41	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-42	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-43	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-44	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-45	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-46	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-47	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-48	Black	Black	NA	Ground Plane	NA	NA	Foraging	Indifferent	They (#48 & #49) are fat.	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-49	Black	Black	NA	Ground Plane	NA	NA	Foraging	Indifferent	They (#48 & #49) are fat.	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-50	Gray	Gray	NA	Ground Plane	NA	NA	Chasing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-51	Black	Black	NA	Ground Plane	NA	NA	Chasing	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-52	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-53	Gray	Gray	NA	Ground Plane	NA	NA	Foraging	Indifferent	NA	NA	NA
CENTRAL MANHATTAN	B	Tompkins Square Park	11	B-11-54	Gray	Gray	NA	Specific Location	NA	Tree	Climbing	Indifferent	NA	NA	NA
